8;22;2;30.07.2017 7:45:59;31.07.2017 7:52:03;1;57,69;865,35;31,15;0,54
8;22;5;30.07.2017 7:45:59;31.07.2017 7:52:03;0;180,69;2574,84;97,57;0,54
8;60;2;30.07.2017 7:45:59;31.07.2017 7:52:03;1;20;730;16,8;0,84
8;92;1;30.07.2017 7:45:59;31.07.2017 7:52:03;0;207,69;7373;153,69;0,74
8;92;2;30.07.2017 7:45:59;31.07.2017 7:52:03;1;65,05;2309,28;48,14;0,74
8;92;4;30.07.2017 7:45:59;31.07.2017 7:52:03;1;1;35,5;0,74;0,74
8;92;5;30.07.2017 7:45:59;31.07.2017 7:52:03;0;20,32;699,82;15,04;0,74
8;95;1;30.07.2017 7:45:59;31.07.2017 7:52:03;0;38,56;1484,56;28,53;0,74
8;95;2;30.07.2017 7:45:59;31.07.2017 7:52:03;1;30,58;1177,33;22,63;0,74
8;95;5;30.07.2017 7:45:59;31.07.2017 7:52:03;0;18,73;699,57;13,86;0,74
9;22;1;31.07.2017 7:52:47;01.08.2017 7:46:24;0;427,71;6415,65;230,96;0,54
9;22;2;31.07.2017 7:52:47;01.08.2017 7:46:24;1;89,42;1341,3;48,29;0,54
9;22;4;31.07.2017 7:52:47;01.08.2017 7:46:24;1;37,32;559,8;20,15;0,54
9;22;5;31.07.2017 7:52:47;01.08.2017 7:46:24;0;232,43;3312,13;125,51;0,54
9;50;1;31.07.2017 7:52:47;01.08.2017 7:46:24;0;11,51;402,85;9,67;0,84
9;60;5;31.07.2017 7:52:47;01.08.2017 7:46:24;0;14,12;499,99;11,86;0,84
9;92;1;31.07.2017 7:52:47;01.08.2017 7:46:24;0;201,38;7149,03;149,02;0,74
9;92;2;31.07.2017 7:52:47;01.08.2017 7:46:24;1;33,79;1199,55;25;0,74
9;92;5;31.07.2017 7:52:47;01.08.2017 7:46:24;0;129,22;4450,32;95,62;0,74
9;95;1;31.07.2017 7:52:47;01.08.2017 7:46:24;0;38,95;1499,58;28,82;0,74
9;95;2;31.07.2017 7:52:47;01.08.2017 7:46:24;1;76,18;2932,94;56,37;0,74
9;95;4;31.07.2017 7:52:47;01.08.2017 7:46:24;1;1,58;60,83;1,17;0,74
9;95;5;31.07.2017 7:52:47;01.08.2017 7:46:24;0;53,38;1993,74;39,5;0,74
10;22;1;01.08.2017 7:51:38;02.08.2017 7:49:28;0;388,73;5830,95;209,91;0,54
10;22;2;01.08.2017 7:51:38;02.08.2017 7:49:28;1;100,65;1509,75;54,35;0,54
10;22;4;01.08.2017 7:51:38;02.08.2017 7:49:28;1;10;150;5,4;0,54
10;22;5;01.08.2017 7:51:38;02.08.2017 7:49:28;0;276,81;3944,56;149,48;0,54
10;50;1;01.08.2017 7:51:38;02.08.2017 7:49:28;0;10,09;350;8,48;0,84
10;60;1;01.08.2017 7:51:38;02.08.2017 7:49:28;0;10,95;399,68;9,2;0,84
10;60;5;01.08.2017 7:51:38;02.08.2017 7:49:28;0;44,12;1562,29;37,06;0,84
10;92;1;01.08.2017 7:51:38;02.08.2017 7:49:28;0;267,07;9480,99;197,63;0,74
10;92;2;01.08.2017 7:51:38;02.08.2017 7:49:28;1;42,24;1499,52;31,26;0,74
10;92;5;01.08.2017 7:51:38;02.08.2017 7:49:28;0;14,51;499,72;10,74;0,74
10;95;2;01.08.2017 7:51:38;02.08.2017 7:49:28;1;45,96;1769,46;34,01;0,74
10;95;5;01.08.2017 7:51:38;02.08.2017 7:49:28;0;167,48;6255,38;123,94;0,74
11;22;1;02.08.2017 7:52:28;03.08.2017 8:05:05;0;466,04;6990,6;251,66;0,54
11;22;2;02.08.2017 7:52:28;03.08.2017 8:05:05;1;152,39;2285,85;82,29;0,54
11;22;4;02.08.2017 7:52:28;03.08.2017 8:05:05;1;10;150;5,4;0,54
11;22;5;02.08.2017 7:52:28;03.08.2017 8:05:05;0;315,6;4497,31;170,42;0,54
11;60;1;02.08.2017 7:52:28;03.08.2017 8:05:05;0;27,39;999,74;23,01;0,84
11;60;5;02.08.2017 7:52:28;03.08.2017 8:05:05;0;28,24;999,98;23,72;0,84
11;92;1;02.08.2017 7:52:28;03.08.2017 8:05:05;0;28,16;999,68;20,84;0,74
11;92;2;02.08.2017 7:52:28;03.08.2017 8:05:05;1;5,63;199,87;4,17;0,74
11;92;5;02.08.2017 7:52:28;03.08.2017 8:05:05;0;124,16;4276,06;91,88;0,74
11;95;1;02.08.2017 7:52:28;03.08.2017 8:05:05;0;20,77;799,65;15,37;0,74
11;95;5;02.08.2017 7:52:28;03.08.2017 8:05:05;0;42,82;1599,32;31,69;0,74
12;22;1;03.08.2017 8:05:35;04.08.2017 7:58:11;0;654,13;9811,95;353,23;0,54
12;22;5;03.08.2017 8:05:35;04.08.2017 7:58:11;0;288,47;4110,71;155,77;0,54
12;50;5;03.08.2017 8:05:35;04.08.2017 7:58:11;0;8,92;299,78;7,49;0,84
12;60;1;03.08.2017 8:05:35;04.08.2017 7:58:11;0;13,69;499,69;11,5;0,84
12;60;2;03.08.2017 8:05:35;04.08.2017 7:58:11;1;54,79;1999,84;46,02;0,84
12;92;1;03.08.2017 8:05:35;04.08.2017 7:58:11;0;171,64;6093,23;127,01;0,74
12;92;2;03.08.2017 8:05:35;04.08.2017 7:58:11;1;62,23;2209,17;46,05;0,74
12;92;5;03.08.2017 8:05:35;04.08.2017 7:58:11;0;85,3;2937,73;63,12;0,74
12;95;1;03.08.2017 8:05:35;04.08.2017 7:58:11;0;178,68;6879,19;132,22;0,74
12;95;5;03.08.2017 8:05:35;04.08.2017 7:58:11;0;43,45;1622,86;32,15;0,74
