1;95;2;0;20.03.2017 13:58:01;18.07.2017 18:58:36;;;;2027;;;;;0;0;0
1;95;2;1;20.03.2017 13:58:01;18.07.2017 18:58:36;;9163,3;111,72;9163,3;9051,58;111,719999999999;0;0;0;;
1;92;4;0;20.03.2017 13:58:01;18.07.2017 18:58:36;;;;898;;;;;0;0;0
1;92;4;1;20.03.2017 13:58:01;18.07.2017 18:58:36;;9502,2;165,71;9502,2;9336,49;165,710000000001;0;0;0;;
1;60;1;0;20.03.2017 13:58:01;18.07.2017 18:58:36;0;;;1308;;;;;0;0;0
1;60;1;1;20.03.2017 13:58:01;18.07.2017 18:58:36;0;8910,8;66,25;8910,8;8844,55;66,25;0;0;0;;0
1;50;3;0;20.03.2017 13:58:01;18.07.2017 18:58:36;;;;1873;;;;;0;0;0
1;50;3;1;20.03.2017 13:58:01;18.07.2017 18:58:36;;8693,3;30,66;8693,3;8662,64;30,6599999999999;0;0;0;;
1;22;5;0;20.03.2017 13:58:01;18.07.2017 18:58:36;;;;0;;;;;0;0;0
1;22;5;1;20.03.2017 13:58:01;18.07.2017 18:58:36;;;64,66;0;-64,66;64,66;0;0;0;;
2;95;2;0;18.07.2017 19:00:08;21.07.2017 17:07:35;2027;;;2027;;;;;0;0;0
2;95;2;1;18.07.2017 19:00:08;21.07.2017 17:07:35;9163,3;0;0;9163,3;9163,3;0;0;0;0;;0
2;92;4;0;18.07.2017 19:00:08;21.07.2017 17:07:35;898;;;898;;;;;0;0;0
2;92;4;1;18.07.2017 19:00:08;21.07.2017 17:07:35;9502,2;0;0;9502,2;9502,2;0;0;0;0;;0
2;60;1;0;18.07.2017 19:00:08;21.07.2017 17:07:35;1308;;;1308;;;;;0;0;0
2;60;1;1;18.07.2017 19:00:08;21.07.2017 17:07:35;8910,8;0;0;8910,8;8910,8;0;0;0;0;;0
2;50;3;0;18.07.2017 19:00:08;21.07.2017 17:07:35;1873;;;1873;;;;;0;0;0
2;50;3;1;18.07.2017 19:00:08;21.07.2017 17:07:35;8693,3;0;0;8693,3;8693,3;0;0;0;0;;0
2;22;5;0;18.07.2017 19:00:08;21.07.2017 17:07:35;0;;;767,46;;;;;0;0;0
2;22;5;1;18.07.2017 19:00:08;21.07.2017 17:07:35;15455;0;117,36;15349,2;15337,64;11,5600000000013;0;0;0;;0
3;95;2;0;25.07.2017 9:27:52;26.07.2017 7:46:50;2027;;;2003;;;;;0;0;0
3;95;2;1;25.07.2017 9:27:52;26.07.2017 7:46:50;9163,3;0;99,78;9070,7;9063,52;7,18000000000029;0;0;0;;0
3;92;4;0;25.07.2017 9:27:52;26.07.2017 7:46:50;898;;;882;;;;;0;0;0
3;92;4;1;25.07.2017 9:27:52;26.07.2017 7:46:50;9502,2;0;228,98;9285,4;9273,22;12,1800000000003;0;0;0;;0
3;60;1;0;25.07.2017 9:27:52;26.07.2017 7:46:50;1308;;;1309;;;;;0;0;0
3;60;1;1;25.07.2017 9:27:52;26.07.2017 7:46:50;8910,8;0;0;8918,9;8910,8;8,10000000000036;0;0;0;;0
3;50;3;0;25.07.2017 9:27:52;26.07.2017 7:46:50;1873;;;1874;;;;;0;0;0
3;50;3;1;25.07.2017 9:27:52;26.07.2017 7:46:50;8693,3;0;0;8697,4;8693,3;4,10000000000036;0;0;0;;0
3;22;5;0;25.07.2017 9:27:52;26.07.2017 7:46:50;767,46;;;743,6;;;;;0;0;0
3;22;5;1;25.07.2017 9:27:52;26.07.2017 7:46:50;15349,2;0;431,21;14872;14917,99;-45,9899999999998;0;0;0;;0
4;95;2;0;26.07.2017 7:48:18;27.07.2017 7:41:41;2003;;;1988;;;;;0;0;0
4;95;2;1;26.07.2017 7:48:18;27.07.2017 7:41:41;9070,7;0;65,31;9012;9005,39;6,61000000000058;0;0;0;;0
4;92;4;0;26.07.2017 7:48:18;27.07.2017 7:41:41;882;;;853;;;;;0;0;0
4;92;4;1;26.07.2017 7:48:18;27.07.2017 7:41:41;9285,4;0;424,89;8889,3;8860,51;28,7899999999991;0;0;0;;0
4;60;1;0;26.07.2017 7:48:18;27.07.2017 7:41:41;1309;;;1309;;;;;0;0;0
4;60;1;1;26.07.2017 7:48:18;27.07.2017 7:41:41;8918,9;0;0;8918,9;8918,9;0;0;0;0;;0
4;50;3;0;26.07.2017 7:48:18;27.07.2017 7:41:41;1874;;;1868;;;;;0;0;0
4;50;3;1;26.07.2017 7:48:18;27.07.2017 7:41:41;8697,4;0;28,8;8672,6;8668,6;4;0;0;0;;0
4;22;5;0;26.07.2017 7:48:18;27.07.2017 7:41:41;743,6;;;722,35;;;;;0;0;0
4;22;5;1;26.07.2017 7:48:18;27.07.2017 7:41:41;14872;0;436,32;14447;14435,68;11,3199999999997;0;0;0;;0
5;95;2;0;27.07.2017 7:42:32;28.07.2017 8:16:32;1988;;;1946;;;;;0;0;0
5;95;2;1;27.07.2017 7:42:32;28.07.2017 8:16:32;9012;0;176,93;8839,8;8835,07;4,72999999999956;0;0;0;;0
5;92;4;0;27.07.2017 7:42:32;28.07.2017 8:16:32;853;;;822;;;;;0;0;0
5;92;4;1;27.07.2017 7:42:32;28.07.2017 8:16:32;8889,3;0;436,04;8436,8;8453,26;-16,4600000000009;0;0;0;;0
5;60;1;0;27.07.2017 7:42:32;28.07.2017 8:16:32;1309;;;1309;;;;;0;0;0
5;60;1;1;27.07.2017 7:42:32;28.07.2017 8:16:32;8918,9;0;0;8918,9;8918,9;0;0;0;0;;0
5;50;3;0;27.07.2017 7:42:32;28.07.2017 8:16:32;1868;;;1868;;;;;0;0;0
