4;92;6;26.07.2017 7:48:18;27.07.2017 7:41:41;91,15;102,46;11,31;0
4;92;7;26.07.2017 7:48:18;27.07.2017 7:41:41;169,09;293,87;124,78;0
4;92;8;26.07.2017 7:48:18;27.07.2017 7:41:41;65,05;96,64;31,59;0
4;92;9;26.07.2017 7:48:18;27.07.2017 7:41:41;30;49,87;19,87;0
4;92;10;26.07.2017 7:48:18;27.07.2017 7:41:41;5;13,47;8,47;0
4;60;7;26.07.2017 7:48:18;27.07.2017 7:41:41;5,04;5,04;0;0
4;60;8;26.07.2017 7:48:18;27.07.2017 7:41:41;31,21;31,21;0;0
4;60;9;26.07.2017 7:48:18;27.07.2017 7:41:41;25;25;0;0
4;60;10;26.07.2017 7:48:18;27.07.2017 7:41:41;5;5;0;0
4;50;5;26.07.2017 7:48:18;27.07.2017 7:41:41;10;10;0;0
4;50;6;26.07.2017 7:48:18;27.07.2017 7:41:41;20,66;49,46;28,8;0
4;22;1;26.07.2017 7:48:18;27.07.2017 7:41:41;140,74;209,46;68,72;0
4;22;2;26.07.2017 7:48:18;27.07.2017 7:41:41;147,45;206,07;58,62;0
4;22;3;26.07.2017 7:48:18;27.07.2017 7:41:41;325,04;634,02;308,98;0
4;22;4;26.07.2017 7:48:18;27.07.2017 7:41:41;0;0;0;0
5;95;5;27.07.2017 7:42:32;28.07.2017 8:16:32;39,02;57,78;18,76;0
5;95;6;27.07.2017 7:42:32;28.07.2017 8:16:32;74,1;74,1;0;0
5;95;7;27.07.2017 7:42:32;28.07.2017 8:16:32;75,66;142,4;66,74;0
5;95;8;27.07.2017 7:42:32;28.07.2017 8:16:32;88,03;179,46;91,43;0
5;92;5;27.07.2017 7:42:32;28.07.2017 8:16:32;263,27;311,57;48,3;0
5;92;6;27.07.2017 7:42:32;28.07.2017 8:16:32;102,46;145,28;42,82;0
5;92;7;27.07.2017 7:42:32;28.07.2017 8:16:32;293,87;576,23;282,36;0
5;92;8;27.07.2017 7:42:32;28.07.2017 8:16:32;96,64;144,69;48,05;0
5;92;9;27.07.2017 7:42:32;28.07.2017 8:16:32;49,87;49,87;0;0
5;92;10;27.07.2017 7:42:32;28.07.2017 8:16:32;13,47;27,98;14,51;0
5;60;7;27.07.2017 7:42:32;28.07.2017 8:16:32;5,04;5,04;0;0
5;60;8;27.07.2017 7:42:32;28.07.2017 8:16:32;31,21;31,21;0;0
5;60;9;27.07.2017 7:42:32;28.07.2017 8:16:32;25;25;0;0
5;60;10;27.07.2017 7:42:32;28.07.2017 8:16:32;5;5;0;0
5;50;5;27.07.2017 7:42:32;28.07.2017 8:16:32;10;10;0;0
5;50;6;27.07.2017 7:42:32;28.07.2017 8:16:32;49,46;49,46;0;0
5;22;1;27.07.2017 7:42:32;28.07.2017 8:16:32;209,46;399,39;189,93;0
5;22;2;27.07.2017 7:42:32;28.07.2017 8:16:32;206,07;234,53;28,46;0
5;22;3;27.07.2017 7:42:32;28.07.2017 8:16:32;634,02;894,13;260,11;0
5;22;4;27.07.2017 7:42:32;28.07.2017 8:16:32;0;0;0;0
6;95;5;28.07.2017 8:17:47;29.07.2017 7:53:53;57,78;119,66;61,88;0
6;95;6;28.07.2017 8:17:47;29.07.2017 7:53:53;74,1;90,16;16,06;0
6;95;7;28.07.2017 8:17:47;29.07.2017 7:53:53;142,4;309,22;166,82;0
